rank,university,country,student_pop,student_staff_ratio,intl_students_pct,female_male_ratio,overall_score,teaching,research_env,research_qual,industry,intl_outlook,year,female_pct
1.0,University of Oxford,United Kingdom,21750.0,10.9,42,49:51:00,98.45749999999998,96.6,100.0,99.0,98.7,97.5,2024,49.0
2.0,Stanford University,United States,14517.0,6.4,23,47:53:00,97.972,99.0,97.8,99.6,100.0,87.0,2024,47.0
3.0,Massachusetts Institute of Technology,United States,11085.0,8.0,33,41:59:00,97.93,98.6,96.2,99.7,100.0,93.8,2024,41.0
4.0,Harvard University,United States,20050.0,9.0,25,51:49:00,97.7905,97.7,99.9,99.4,84.2,90.8,2024,51.0
5.0,University of Cambridge,United Kingdom,20565.0,11.5,38,48:52:00,97.482,95.8,100.0,98.0,87.9,97.4,2024,48.0
6.0,Princeton University,United States,7753.0,7.3,23,47:53:00,96.926,96.3,97.9,98.8,95.1,89.1,2024,47.0
7.0,California Institute of Technology,United States,2240.0,6.1,33,37 : 63,96.482,96.6,98.0,95.9,100.0,90.6,2024,37.0
8.0,Imperial College London,United Kingdom,20275.0,11.8,61,42:58:00,95.099,90.9,95.5,98.6,90.9,98.3,2024,42.0
9.0,"University of California, Berkeley",United States,39991.0,17.9,22,52:48:00,94.562,87.2,98.8,99.0,99.4,86.8,2024,52.0
10.0,Yale University,United States,11924.0,5.2,21,51:49:00,94.201,94.0,94.9,97.7,86.5,82.4,2024,51.0
11.0,ETH Zurich,Switzerland,22619.0,15.4,43,33 : 67,93.07999999999998,87.6,96.8,95.6,82.9,95.6,2024,33.0
12.0,Tsinghua University,China,38518.0,11.2,10,,92.396,95.3,98.1,93.2,99.9,51.7,2024,
13.0,The University of Chicago,United States,15792.0,6.2,36,47:53:00,92.0845,89.6,91.2,97.6,93.8,82.3,2024,47.0
14.0,Peking University,China,33064.0,10.9,14,,91.796,95.6,97.3,87.2,98.8,70.2,2024,
15.0,Johns Hopkins University,United States,15772.0,4.1,28,56:44:00,91.14,84.4,92.3,97.2,100.0,84.2,2024,56.0
16.0,University of Pennsylvania,United States,21312.0,6.2,22,54:46:00,90.9825,87.7,89.7,97.6,97.7,78.8,2024,54.0
17.0,Columbia University,United States,25914.0,5.2,35,,90.89549999999998,88.6,89.7,97.4,75.2,86.9,2024,
18.0,"University of California, Los Angeles",United States,42634.0,9.6,15,56:44:00,90.11700000000002,85.7,91.9,96.4,92.3,74.3,2024,56.0
19.0,National University of Singapore,Singapore,33334.0,20.0,24,49:51:00,89.9585,78.8,94.0,95.4,100.0,91.1,2024,49.0
20.0,Cornell University,United States,23620.0,10.0,24,51:49:00,89.5105,85.7,88.7,97.6,69.4,86.0,2024,51.0
