rank,university,country,student_pop,student_staff_ratio,intl_students_pct,female_male_ratio,overall_score,teaching,research_env,research_qual,industry,intl_outlook,year,female_pct
21.0,University of Toronto,Canada,79282.0,25.8,27,56:44:00,88.63799999999999,77.5,94.1,92.8,96.1,90.7,2024,56.0
22.0,UCL,United Kingdom,41110.0,11.3,61,59:41:00,88.11449999999999,78.4,86.4,98.6,75.2,97.9,2024,59.0
23.0,University of Michigan-Ann Arbor,United States,45783.0,8.1,16,51:49:00,87.38549999999998,84.7,87.4,95.5,80.7,69.0,2024,51.0
24.0,Carnegie Mellon University,United States,13562.0,11.9,44,44:56:00,86.23349999999999,75.0,84.6,98.9,87.3,85.5,2024,44.0
25.0,University of Washington,United States,49486.0,10.1,16,56:44:00,85.279,78.0,83.5,98.2,77.6,73.2,2024,56.0
26.0,Duke University,United States,15527.0,3.9,18,52:48:00,83.93249999999999,79.3,76.1,96.2,100.0,74.8,2024,52.0
27.0,New York University,United States,48461.0,11.8,42,58:42:00,83.4925,73.2,84.0,94.9,75.4,80.7,2024,58.0
28.0,Northwestern University,United States,18894.0,13.1,18,52:48:00,83.201,72.3,78.8,97.8,99.7,75.9,2024,52.0
29.0,The University of Tokyo,Japan,26345.0,10.3,15,,83.08600000000001,93.9,94.2,67.8,100.0,49.7,2024,
30.0,University of Edinburgh,United Kingdom,33940.0,11.5,46,61:39:00,82.5205,70.7,77.5,96.9,71.1,97.0,2024,61.0
31.0,Technical University of Munich,Germany,35506.0,44.4,39,37 : 63,82.5025,69.8,85.1,90.0,100.0,83.1,2024,37.0
32.0,"Nanyang Technological University, Singapore",Singapore,25895.0,16.7,27,49:51:00,82.32549999999999,66.2,80.9,94.5,99.7,93.3,2024,49.0
33.0,École Polytechnique Fédérale de Lausanne,Switzerland,12543.0,13.5,64,30 : 70,81.47250000000001,74.5,73.2,90.3,99.8,95.8,2024,30.0
34.0,"University of California, San Diego",United States,40596.0,12.0,19,45:55:00,81.05850000000001,66.0,78.4,97.6,100.0,74.3,2024,45.0
35.0,University of Hong Kong,Hong Kong,18103.0,18.3,43,55:45:00,80.30700000000002,65.6,72.3,96.4,95.2,96.8,2024,55.0
36.0,Georgia Institute of Technology,United States,32079.0,28.0,29,34 : 66,79.958,63.4,78.9,94.1,94.6,84.8,2024,34.0
37.0,University of Melbourne,Australia,51307.0,25.1,47,58:42:00,79.1865,64.8,76.4,90.1,98.3,92.7,2024,58.0
38.0,King’s College London,United Kingdom,32835.0,13.9,53,63:37:00,79.0105,59.8,75.1,97.7,74.2,97.5,2024,63.0
39.0,LMU Munich,Germany,34622.0,33.5,18,62:38:00,78.963,65.3,76.8,92.2,100.0,76.9,2024,62.0
40.0,Paris Sciences et Lettres – PSL Research University Paris,France,16120.0,15.0,22,51:49:00,78.51150000000001,75.7,72.8,83.2,99.7,81.6,2024,51.0
41.0,University of British Columbia,Canada,58987.0,19.4,34,55:45:00,77.9945,62.5,76.6,90.5,76.7,95.0,2024,55.0
42.0,University of Illinois at Urbana-Champaign,United States,50250.0,19.6,23,51:49:00,77.9095,69.5,81.5,85.2,85.3,64.0,2024,51.0
43.0,Shanghai Jiao Tong University,China,38472.0,12.6,9,37 : 63,77.687,76.6,82.5,75.4,100.0,60.6,2024,37.0
44.0,Fudan University,China,38101.0,12.6,9,52:48:00,77.502,76.5,75.3,83.5,96.0,56.1,2024,52.0
45.0,KU Leuven,Belgium,49435.0,37.3,19,52:48:00,76.9905,60.1,74.9,91.9,100.0,79.6,2024,52.0
46.0,London School of Economics and Political Science,United Kingdom,11945.0,12.6,72,56:44:00,76.781,59.5,73.5,95.4,55.9,94.1,2024,56.0
47.0,Universität Heidelberg,Germany,19315.0,13.3,20,55:45:00,76.70049999999999,67.7,64.3,94.6,99.3,76.4,2024,55.0
48.0,Delft University of Technology,Netherlands,21262.0,15.9,30,31 : 69,76.2645,66.7,78.2,76.5,100.0,92.8,2024,31.0
49.0,McGill University,Canada,30821.0,11.9,29,61:39:00,75.967,62.3,72.3,88.8,76.1,92.5,2024,61.0
50.0,Karolinska Institute,Sweden,8085.0,9.9,27,70:30:00,75.92399999999999,58.9,67.9,95.3,96.0,85.7,2024,70.0
51.0,University of Manchester,United Kingdom,40725.0,15.6,45,56:44:00,75.596,61.4,67.1,93.1,73.1,95.6,2024,56.0
52.0,University of Texas at Austin,United States,48558.0,16.4,8,55:45:00,75.5265,66.0,75.7,91.0,81.4,47.3,2024,55.0
53.0,Chinese University of Hong Kong,Hong Kong,18290.0,18.8,25,,75.40549999999999,59.1,61.5,97.6,95.9,93.6,2024,
54.0,Monash University,Australia,58460.0,43.1,38,56:44:00,75.20599999999999,55.3,67.8,94.7,99.7,91.1,2024,56.0
55.0,Kyoto University,Japan,21817.0,9.0,11,25 : 75,75.0675,85.4,84.3,60.0,100.0,45.7,2024,25.0
56.0,Zhejiang University,China,48169.0,12.0,16,,75.02849999999998,70.2,75.3,78.7,99.0,65.5,2024,
57.0,University of Science and Technology of China,China,20252.0,8.1,5,,74.8345,74.3,66.3,88.2,95.6,45.4,2024,
58.0,Université Paris-Saclay,France,31662.0,13.0,24,50:50:00,74.3955,70.9,66.1,82.4,92.4,78.6,2024,50.0
59.0,"University of California, Davis",United States,37926.0,13.3,18,60:40:00,74.176,63.7,67.8,87.2,91.5,78.7,2024,60.0
60.0,The University of Sydney,Australia,57414.0,23.1,51,58:42:00,73.771,52.6,68.9,92.0,97.7,90.2,2024,58.0
61.0,University of Amsterdam,Netherlands,28649.0,13.2,36,60:40:00,73.628,55.0,63.1,96.7,77.6,93.2,2024,60.0
62.0,Seoul National University,South Korea,28620.0,16.1,13,,73.3835,74.2,75.3,74.6,100.0,43.7,2024,
63.0,University of Wisconsin-Madison,United States,41209.0,9.9,13,,73.33449999999999,68.5,67.5,85.5,79.8,62.8,2024,
64.0,Wageningen University & Research,Netherlands,15899.0,18.1,28,54:46:00,73.002,56.4,59.8,93.8,98.8,92.4,2024,54.0
65.0,The Hong Kong University of Science and Technology,Hong Kong,9794.0,19.9,30,,72.97149999999999,54.0,62.1,92.9,100.0,95.5,2024,
66.0,Brown University,United States,9781.0,10.3,19,,72.9645,69.8,59.6,89.7,69.3,72.1,2024,
67.0,Australian National University,Australia,17293.0,15.1,48,52:48:00,72.5805,55.9,68.0,86.6,82.0,94.8,2024,52.0
68.0,Washington University in St Louis,United States,13825.0,7.3,22,52:48:00,72.3385,60.8,57.2,97.5,77.8,72.7,2024,52.0
69.0,"University of California, Santa Barbara",United States,25540.0,27.5,18,54:46:00,72.092,47.4,64.7,96.9,99.4,84.0,2024,54.0
70.0,The University of Queensland,Australia,42847.0,39.1,42,55:45:00,72.0245,52.9,64.3,89.1,99.8,94.0,2024,55.0
71.0,Institut Polytechnique de Paris,France,6073.0,6.8,42,25 : 75,71.28349999999999,71.0,61.6,70.8,98.8,97.1,2024,25.0
72.0,University of North Carolina at Chapel Hill,United States,30782.0,7.7,8,60:40:00,71.20949999999999,63.4,60.3,93.9,75.8,50.9,2024,60.0
73.0,Nanjing University,China,36711.0,16.7,8,54:46:00,70.87,64.0,61.7,85.3,96.8,61.8,2024,54.0
74.0,University of Southern California,United States,44083.0,14.2,24,49:51:00,70.8145,59.2,58.8,92.5,74.4,74.3,2024,49.0
75.0,Sorbonne University,France,41527.0,14.5,22,60:40:00,70.5185,64.7,60.8,83.7,69.5,78.8,2024,60.0
76.0,Yonsei University (Seoul campus),South Korea,18961.0,13.9,17,49:51:00,70.40749999999998,68.1,64.3,79.3,99.9,51.8,2024,49.0
77.0,Boston University,United States,26677.0,10.8,29,58:42:00,70.1745,59.6,54.1,94.3,76.4,74.1,2024,58.0
78.0,Leiden University,Netherlands,35072.0,19.3,21,60:40:00,70.162,46.0,62.7,93.0,98.1,87.8,2024,60.0
79.0,University of Groningen,Netherlands,31942.0,28.8,29,53:47:00,69.9515,47.5,57.2,94.5,99.9,93.4,2024,53.0
80.0,University of Zurich,Switzerland,25608.0,14.7,24,58:42:00,69.87,54.8,53.4,91.8,93.7,92.4,2024,58.0
81.0,University of Bristol,United Kingdom,27335.0,14.8,31,55:45:00,69.77099999999999,48.7,56.5,97.3,72.3,92.5,2024,55.0
82.0,City University of Hong Kong,Hong Kong,9076.0,13.2,67,54:46:00,69.3275,52.2,52.4,91.1,100.0,98.7,2024,54.0
83.0,Korea Advanced Institute of Science and Technology (KAIST),South Korea,10130.0,10.7,8,0.929861111,69.2165,67.1,65.8,77.4,100.0,41.6,2024,48.18
84.0,UNSW Sydney,Australia,47044.0,36.6,40,47:53:00,68.9315,47.2,57.4,91.1,98.6,94.5,2024,47.0
85.0,University of Minnesota,United States,59556.0,11.8,9,55:45:00,68.7345,61.0,58.5,87.2,99.8,48.3,2024,55.0
86.0,Purdue University West Lafayette,United States,42633.0,18.3,17,44:56:00,68.4815,64.0,65.3,71.8,84.3,76.7,2024,44.0
87.0,University of Glasgow,United Kingdom,32270.0,14.4,43,59:41:00,68.24699999999999,48.1,51.8,96.8,69.7,96.1,2024,59.0
88.0,Hong Kong Polytechnic University,Hong Kong,20034.0,30.6,30,51:49:00,68.23899999999999,45.7,54.1,94.5,87.4,96.3,2024,51.0
89.0,Humboldt University of Berlin,Germany,34761.0,54.5,18,,68.16749999999999,55.3,63.7,82.8,65.4,79.0,2024,
90.0,RWTH Aachen University,Germany,34914.0,43.3,29,34 : 66,67.9975,54.9,64.8,78.9,100.0,71.2,2024,34.0
91.0,University of Bonn,Germany,26290.0,44.5,17,57:43:00,67.7335,51.7,57.7,89.7,82.6,73.8,2024,57.0
92.0,Vanderbilt University,United States,12971.0,3.9,17,55:45:00,67.402,54.1,48.5,96.0,96.5,62.9,2024,55.0
93.0,"University of California, Irvine",United States,35675.0,16.2,26,53:47:00,67.368,47.1,53.8,93.2,96.1,80.9,2024,53.0
94.0,Charité - Universitätsmedizin Berlin,Germany,8868.0,17.5,21,65:35:00,67.2015,47.5,49.1,97.7,100.0,75.2,2024,65.0
95.0,Lomonosov Moscow State University,Russian Federation,32680.0,9.6,37,50:50:00,66.9695,87.5,75.2,33.9,91.1,73.8,2024,50.0
96.0,University of Tübingen,Germany,21632.0,27.1,14,59:41:00,66.96149999999999,49.1,56.5,89.0,99.8,72.0,2024,59.0
97.0,KTH Royal Institute of Technology,Sweden,13269.0,15.9,26,34 : 66,66.94,53.5,57.8,81.0,97.7,82.5,2024,34.0
98.0,University of Southampton,United Kingdom,19920.0,13.0,35,51:49:00,66.926,48.9,50.1,92.7,73.1,96.5,2024,51.0
99.0,Ohio State University (Main campus),United States,55538.0,11.4,11,51:49:00,66.7115,55.8,52.7,88.4,85.0,67.3,2024,51.0
100.0,Erasmus University Rotterdam,Netherlands,33874.0,36.0,25,54:46:00,66.6995,38.5,54.1,96.9,94.7,90.6,2024,54.0
101.0,University of Birmingham,United Kingdom,32625.0,15.2,32,58:42:00,66.56299999999999,46.1,49.3,95.5,72.1,95.1,2024,58.0
102.0,Free University of Berlin,Germany,25427.0,41.5,20,63:37:00,66.4765,52.1,59.7,82.5,71.6,82.4,2024,63.0
103.0,University of Copenhagen,Denmark,31728.0,4.3,14,62:38:00,66.3105,49.2,51.1,91.3,89.5,80.1,2024,62.0
104.0,McMaster University,Canada,28254.0,30.9,22,56:44:00,66.24549999999999,43.8,51.3,93.0,100.0,87.3,2024,56.0
105.0,University of Sheffield,United Kingdom,27860.0,15.4,40,53:47:00,66.205,48.0,49.5,92.3,77.5,92.0,2024,53.0
106.0,Lund University,Sweden,30349.0,12.0,18,56:44:00,66.1475,46.7,56.6,86.6,99.8,79.8,2024,56.0
107.0,University of Warwick,United Kingdom,24905.0,14.4,44,50:50:00,66.04849999999999,48.1,52.1,89.0,70.5,96.4,2024,50.0
108.0,Emory University,United States,13127.0,4.0,19,61:39:00,66.029,53.1,45.7,95.5,81.6,69.3,2024,61.0
109.0,University of Alberta,Canada,33730.0,22.8,27,,65.943,50.1,55.5,80.9,99.9,90.7,2024,
110.0,Aarhus University,Denmark,26996.0,13.5,9,56:44:00,65.916,44.9,59.0,86.3,98.7,76.3,2024,56.0
111.0,University of Göttingen,Germany,23349.0,27.4,14,53:47:00,65.8065,50.0,54.8,90.1,70.8,70.7,2024,53.0
112.0,University of Adelaide,Australia,23792.0,36.4,31,49:51:00,65.7895,42.4,50.6,92.8,95.0,92.9,2024,49.0
113.0,Université de Montréal,Canada,39935.0,20.5,22,,65.7445,51.2,54.1,81.7,96.6,87.7,2024,
114.0,"University of Maryland, College Park",United States,33988.0,17.0,9,49:51:00,65.715,49.4,58.1,92.8,70.2,48.6,2024,49.0
115.0,Ghent University,Belgium,41487.0,37.6,12,57:43:00,65.62650000000001,47.2,59.3,85.3,99.7,65.7,2024,57.0
116.0,University of Bern,Switzerland,12399.0,18.2,16,59:41:00,65.41749999999999,45.1,47.0,93.3,99.2,87.0,2024,59.0
117.0,Michigan State University,United States,44514.0,16.1,11,52:48:00,65.348,54.8,52.3,86.2,70.0,71.4,2024,52.0
118.0,Texas A&M University,United States,64427.0,20.5,6,47:53:00,65.34649999999999,55.2,62.1,77.3,76.4,64.1,2024,47.0
119.0,University of Vienna,Austria,31318.0,37.4,31,66:34:00,65.22699999999999,48.7,60.3,77.4,75.9,94.9,2024,66.0
120.0,Rice University,United States,7318.0,9.8,26,42:58:00,65.203,56.4,45.6,86.5,73.9,85.8,2024,42.0
121.0,University of Helsinki,Finland,22887.0,15.9,5,67:33:00,65.094,48.1,57.6,90.6,69.2,56.7,2024,67.0
122.0,Penn State (Main campus),United States,45875.0,14.2,15,48:52:00,64.9935,53.1,58.7,83.7,70.4,58.4,2024,48.0
123.0,University of Massachusetts,United States,63500.0,13.3,14,50:50:00,64.9425,54.0,46.9,87.3,85.6,77.3,2024,50.0
124.0,University of Basel,Switzerland,8536.0,10.4,31,56:44:00,64.868,50.8,42.9,87.7,99.4,95.4,2024,56.0
125.0,Vrije Universiteit Amsterdam,Netherlands,31704.0,19.2,18,57:43:00,64.7105,40.4,51.0,93.4,91.5,84.3,2024,57.0
126.0,Technical University of Denmark,Denmark,10410.0,7.7,28,32 : 68,64.5655,50.7,47.4,83.2,99.7,92.2,2024,32.0
127.0,University of Oslo,Norway,20967.0,12.5,15,66:34:00,64.318,45.6,50.6,92.1,72.3,75.6,2024,66.0
128.0,University of Freiburg,Germany,19417.0,34.4,17,53:47:00,64.07849999999999,46.7,51.3,86.2,100.0,74.2,2024,53.0
129.0,University of Leeds,United Kingdom,33450.0,14.4,32,59:41:00,63.8755,46.1,49.1,87.3,68.8,94.6,2024,59.0
130.0,Tohoku University,Japan,17409.0,11.8,12,28 : 72,63.7805,67.8,66.4,53.8,99.9,58.5,2024,28.0
131.0,University of Nottingham,United Kingdom,33520.0,16.0,27,54:46:00,63.751,45.6,45.9,90.6,71.2,92.8,2024,54.0
132.0,University of Florida,United States,48114.0,16.7,9,56:44:00,63.679,55.5,56.7,78.3,88.9,50.9,2024,56.0
133.0,University of Rochester,United States,9855.0,7.3,34,50:50:00,63.6045,50.8,42.9,88.3,89.0,81.7,2024,50.0
134.0,Trinity College Dublin,Ireland,18778.0,22.2,34,61:39:00,63.215,44.0,48.4,87.6,76.6,91.4,2024,61.0
135.0,Queen Mary University of London,United Kingdom,22205.0,14.6,45,54:46:00,63.12950000000001,37.6,42.6,97.9,73.9,98.1,2024,54.0
136.0,Technical University of Berlin,Germany,20425.0,49.6,29,35 : 65,62.99849999999999,47.8,55.6,78.1,99.9,71.3,2024,35.0
137.0,University of Hamburg,Germany,29240.0,58.5,13,58:42:00,62.955000000000005,44.7,53.3,84.8,98.6,65.7,2024,58.0
138.0,Maastricht University,Netherlands,21337.0,19.6,57,60:40:00,62.931,41.4,47.1,86.1,98.1,97.4,2024,60.0
139.0,University of Colorado Boulder,United States,35844.0,16.5,8,45:55:00,62.90549999999999,46.5,51.9,88.6,82.8,56.6,2024,45.0
140.0,Uppsala University,Sweden,24749.0,13.3,17,60:40:00,62.801,43.9,55.0,81.3,97.7,74.7,2024,60.0
141.0,Radboud University Nijmegen,Netherlands,23004.0,18.2,12,57:43:00,62.798,39.1,51.0,91.3,81.4,77.7,2024,57.0
142.0,Karlsruhe Institute of Technology,Germany,21448.0,20.5,25,29 : 71,62.7585,49.9,56.8,72.5,99.9,77.6,2024,29.0
143.0,The University of Western Australia,Australia,19382.0,22.4,26,50:50:00,62.726,37.7,48.6,88.7,97.2,93.5,2024,50.0
144.0,University of Lausanne,Switzerland,14478.0,10.5,23,,62.67849999999999,41.7,46.3,87.3,99.5,90.4,2024,
145.0,Sungkyunkwan University (SKKU),South Korea,23402.0,19.4,19,,62.50999999999999,55.5,54.2,72.9,98.8,61.3,2024,
146.0,University of Pittsburgh-Pittsburgh campus,United States,26305.0,5.4,10,56:44:00,62.435,49.1,46.1,92.4,76.1,50.9,2024,56.0
147.0,University of York,United Kingdom,19505.0,16.1,31,56:44:00,62.3985,42.4,44.8,90.8,66.9,93.1,2024,56.0
148.0,University of Technology Sydney,Australia,28223.0,37.4,25,50:50:00,62.2345,36.2,43.3,95.9,78.9,94.3,2024,50.0
148.0,Pohang University of Science and Technology (POSTECH),South Korea,3300.0,10.5,5,,62.2345,58.1,51.5,77.2,100.0,40.0,2024,
150.0,University of Auckland,New Zealand,35663.0,24.4,31,57:43:00,62.029,39.7,45.7,88.3,95.8,89.9,2024,57.0
151.0,Sichuan University,China,49117.0,15.9,5,,62.027,59.1,57.3,69.3,93.2,46.1,2024,
152.0,Université Paris Cité,France,61690.0,16.9,18,66:34:00,61.9155,47.9,42.7,90.6,68.3,73.2,2024,66.0
153.0,University of Barcelona,Spain,44365.0,15.3,11,64:36:00,61.891,42.4,47.3,91.4,83.9,65.2,2024,64.0
154.0,National Taiwan University (NTU),Taiwan,24744.0,11.1,13,41:59:00,61.871500000000005,57.3,54.8,70.8,99.9,51.2,2024,41.0
155.0,University of Arizona,United States,45517.0,19.9,7,56:44:00,61.8385,48.7,51.3,85.7,84.0,47.0,2024,56.0
156.0,University of Bologna,Italy,74105.0,24.7,11,57:43:00,61.7675,53.0,44.6,86.5,79.4,54.3,2024,57.0
157.0,Lancaster University,United Kingdom,15385.0,13.9,38,51:49:00,61.756,40.2,40.7,93.9,66.6,96.8,2024,51.0
158.0,Huazhong University of Science and Technology,China,57663.0,15.5,4,,61.6885,48.8,48.1,90.0,96.9,32.9,2024,
159.0,University of Waterloo,Canada,36904.0,24.2,23,47:53:00,61.68549999999999,42.2,49.3,83.7,78.3,89.3,2024,47.0
160.0,University of Cologne,Germany,31299.0,28.7,17,,61.44399999999999,42.9,47.1,85.6,98.8,73.3,2024,
161.0,TU Dresden,Germany,29719.0,29.4,17,45:55:00,61.4365,46.6,51.1,79.3,99.7,67.9,2024,45.0
162.0,University of Antwerp,Belgium,16168.0,31.8,17,56:44:00,61.4335,38.2,44.4,92.5,98.4,74.7,2024,56.0
163.0,Dartmouth College,United States,6226.0,7.4,16,49:51:00,61.3675,57.3,40.7,84.7,68.4,60.2,2024,49.0
164.0,Wuhan University,China,56066.0,15.0,5,,61.3145,50.9,45.0,88.5,90.6,41.0,2024,
165.0,Case Western Reserve University,United States,10294.0,8.8,25,51:49:00,61.2505,51.7,40.2,88.7,71.4,65.0,2024,51.0
166.0,University of Virginia (Main campus),United States,25953.0,8.9,11,54:46:00,61.1295,51.1,40.1,88.9,79.9,60.8,2024,54.0
167.0,University of Cape Town,South Africa,21961.0,13.6,13,54:46:00,60.882000000000005,38.7,47.0,88.3,78.2,82.9,2024,54.0
168.0,Eindhoven University of Technology,Netherlands,10611.0,21.4,27,,60.85549999999999,47.4,51.5,71.3,100.0,87.3,2024,
169.0,University of Liverpool,United Kingdom,25955.0,14.2,32,54:46:00,60.83200000000001,38.4,40.2,93.4,64.9,96.4,2024,54.0
170.0,Université Catholique de Louvain,Belgium,25409.0,37.3,20,54:46:00,60.82099999999999,39.5,49.4,83.1,92.0,83.1,2024,54.0
171.0,Scuola Normale Superiore di Pisa,Italy,614.0,7.4,11,29 : 71,60.797,60.1,42.6,82.9,34.9,59.3,2024,29.0
172.0,Harbin Institute of Technology,China,30933.0,10.6,6,,60.7855,58.8,55.1,70.9,91.2,33.9,2024,
173.0,Newcastle University,United Kingdom,25650.0,14.8,26,53:47:00,60.7645,37.2,41.1,93.8,72.1,91.3,2024,53.0
174.0,Durham University,United Kingdom,19575.0,14.0,32,54:46:00,60.5965,43.5,44.5,83.5,65.6,95.8,2024,54.0
175.0,Osaka University,Japan,22274.0,10.4,10,32 : 68,60.4655,62.5,65.7,50.5,100.0,51.0,2024,32.0
176.0,University of Würzburg,Germany,23637.0,38.3,12,59:41:00,60.438500000000005,40.3,43.4,90.8,99.6,63.2,2024,59.0
177.0,University of Ottawa,Canada,38366.0,27.2,26,59:41:00,60.2125,39.6,46.5,84.4,80.2,86.9,2024,59.0
178.0,Beijing Normal University,China,26439.0,14.4,9,,60.18,57.7,45.8,77.5,67.6,52.3,2024,
179.0,University of Exeter,United Kingdom,27190.0,16.6,28,53:47:00,60.168000000000006,33.5,42.5,95.7,52.2,95.5,2024,53.0
180.0,Macquarie University,Australia,30371.0,51.7,22,,60.145500000000006,36.7,44.2,87.4,90.9,88.6,2024,
181.0,Sapienza University of Rome,Italy,60522.0,22.2,9,61:39:00,60.005,53.5,48.1,77.9,85.4,46.5,2024,61.0
182.0,Arizona State University (Tempe),United States,48870.0,19.7,14,46:54:00,59.95099999999999,40.9,46.2,87.5,71.5,71.7,2024,46.0
183.0,University of Geneva,Switzerland,18865.0,8.4,40,62:38:00,59.871500000000005,41.8,38.0,86.7,80.7,97.1,2024,62.0
184.0,University of Twente,Netherlands,9964.0,13.9,38,37 : 63,59.654500000000006,43.4,46.0,75.1,99.6,93.3,2024,37.0
185.0,Tongji University,China,31632.0,11.3,15,41:59:00,59.63749999999999,50.0,53.6,69.5,85.4,67.7,2024,41.0
186.0,Stockholm University,Sweden,29774.0,20.3,13,,59.6115,32.1,49.6,91.0,59.2,81.2,2024,
187.0,University of Mannheim,Germany,7475.0,57.1,14,52:48:00,59.515,36.5,45.4,90.2,93.6,63.7,2024,52.0
188.0,Georgetown University,United States,17508.0,10.1,18,55:45:00,59.455000000000005,52.6,37.0,85.1,92.2,53.2,2024,55.0
189.0,Chalmers University of Technology,Sweden,10103.0,15.4,17,32 : 68,59.372,42.7,46.6,79.4,97.1,74.1,2024,32.0
190.0,Cardiff University,United Kingdom,28815.0,15.0,27,58:42:00,59.28,35.5,39.6,91.9,70.4,92.5,2024,58.0
191.0,Tokyo Institute of Technology,Japan,9928.0,9.6,17,0.725,59.237,59.5,63.3,49.4,100.0,60.1,2024,42.03
192.0,Tufts University,United States,11611.0,10.5,16,57:43:00,59.1705,51.5,35.0,87.5,71.7,62.8,2024,57.0
193.0,University of Münster,Germany,27529.0,25.1,5,,59.0205,43.8,47.3,83.7,81.5,53.5,2024,
194.0,Ulm University,Germany,10301.0,26.4,13,51:49:00,59.004000000000005,40.6,41.2,87.9,99.6,63.0,2024,51.0
195.0,University of Erlangen-Nuremberg,Germany,29467.0,41.9,13,51:49:00,59.001000000000005,42.6,48.1,79.7,100.0,61.0,2024,51.0
196.0,University of Macau,Macao,10908.0,18.6,41,54:46:00,58.9705,38.4,38.1,90.3,61.9,93.7,2024,54.0
197.0,University of St Andrews,United Kingdom,10325.0,12.4,46,58:42:00,58.963,46.0,42.6,77.7,63.6,95.8,2024,58.0
198.0,Indiana University,United States,66389.0,12.3,12,54:46:00,58.844,47.3,38.4,84.9,85.8,64.7,2024,54.0
199.0,Ulsan National Institute of Science and Technology (UNIST),South Korea,3799.0,11.8,9,28 : 72,58.675,47.7,40.8,85.0,94.6,46.5,2024,28.0
200.0,Queensland University of Technology,Australia,35164.0,37.9,14,54:46:00,58.6605,33.9,42.1,89.5,85.9,82.2,2024,54.0
201.0,University of Notre Dame,United States,12576.0,10.9,12,47:53:00,58.65299999999999,51.9,42.6,76.1,72.9,69.9,2024,47.0
202.0,Autonomous University of Barcelona,Spain,32901.0,13.2,13,60:40:00,58.61449999999999,45.1,41.4,84.8,67.6,68.8,2024,60.0
203.0,"University of California, Santa Cruz",United States,19154.0,24.2,12,47:53:00,58.598,34.9,39.8,93.3,73.2,77.9,2024,47.0
204.0,"Northeastern University, US",United States,22269.0,14.1,32,49:51:00,58.596500000000006,40.2,33.6,93.3,68.9,83.3,2024,49.0
205.0,Université Libre de Bruxelles,Belgium,30287.0,51.7,30,58:42:00,58.437,35.8,45.0,83.5,76.4,89.6,2024,58.0
206.0,Aalto University,Finland,14427.0,20.4,23,39 : 61,58.42199999999999,42.0,43.1,79.7,87.2,81.8,2024,39.0
207.0,Sant’Anna School of Advanced Studies – Pisa,Italy,718.0,7.4,20,37 : 63,58.38,50.4,39.0,80.1,90.3,60.8,2024,37.0
208.0,University of São Paulo,Brazil,83182.0,13.9,2,47:53:00,58.3495,59.8,60.7,57.3,68.2,42.5,2024,47.0
209.0,Tel Aviv University,Israel,24995.0,24.2,5,57:43:00,58.335,40.7,49.7,83.0,76.2,52.9,2024,57.0
